filename, language, JSON, JavaScript, TypeScript, HTML, SCSS, comment, blank, total
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\news\news.page.scss, SCSS, 0, 0, 0, 0, 11, 0, 2, 13
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\news\news.page.spec.ts, TypeScript, 0, 0, 19, 0, 0, 0, 6, 25
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\news\news.page.ts, TypeScript, 0, 0, 25, 0, 0, 0, 7, 32
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\recordings\recordings.module.ts, TypeScript, 0, 0, 22, 0, 0, 0, 5, 27
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\recordings\recordings.page.html, HTML, 0, 0, 0, 33, 0, 0, 3, 36
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\recordings\recordings.page.scss, SCSS, 0, 0, 0, 0, 15, 1, 3, 19
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\recordings\recordings.page.spec.ts, TypeScript, 0, 0, 19, 0, 0, 0, 6, 25
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\recordings\recordings.page.ts, TypeScript, 0, 0, 57, 0, 0, 0, 16, 73
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\service\the-session.service.spec.ts, TypeScript, 0, 0, 5, 0, 0, 0, 4, 9
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\service\the-session.service.ts, TypeScript, 0, 0, 75, 0, 0, 0, 23, 98
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\shared\shared.module.ts, TypeScript, 0, 0, 19, 0, 0, 0, 4, 23
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\statistics\statistics.module.ts, TypeScript, 0, 0, 31, 0, 0, 0, 3, 34
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\statistics\statistics.page.html, HTML, 0, 0, 0, 45, 0, 0, 8, 53
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\statistics\statistics.page.scss, SCSS, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\statistics\statistics.page.spec.ts, TypeScript, 0, 0, 19, 0, 0, 0, 6, 25
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\statistics\statistics.page.ts, TypeScript, 0, 0, 47, 0, 0, 0, 15, 62
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\tune-info\tune-info.module.ts, TypeScript, 0, 0, 26, 0, 0, 0, 3, 29
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\tune-info\tune-info.page.html, HTML, 0, 0, 0, 36, 0, 0, 8, 44
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\tune-info\tune-info.page.scss, SCSS, 0, 0, 0, 0, 4, 0, 0, 4
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\tune-info\tune-info.page.spec.ts, TypeScript, 0, 0, 19, 0, 0, 0, 6, 25
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\tune-info\tune-info.page.ts, TypeScript, 0, 0, 204, 0, 0, 5, 31, 240
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\tunes\tunes.module.ts, TypeScript, 0, 0, 26, 0, 0, 0, 4, 30
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\tunes\tunes.page.html, HTML, 0, 0, 0, 22, 0, 18, 1, 41
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\tunes\tunes.page.scss, SCSS, 0, 0, 0, 0, 4, 0, 2, 6
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\tunes\tunes.page.spec.ts, TypeScript, 0, 0, 19, 0, 0, 0, 6, 25
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\tunes\tunes.page.ts, TypeScript, 0, 0, 61, 0, 0, 0, 12, 73
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\assets\events.json, JSON, 5232, 0, 0, 0, 0, 0, 0, 5232
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\assets\events1.json, JSON, 5348, 0, 0, 0, 0, 0, 0, 5348
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\assets\tunes.json, JSON, 34601, 0, 0, 0, 0, 0, 0, 34601
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\assets\tunes1.json, JSON, 35250, 0, 0, 0, 0, 0, 0, 35250
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\environments\environment.prod.ts, TypeScript, 0, 0, 3, 0, 0, 0, 1, 4
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\environments\environment.ts, TypeScript, 0, 0, 3, 0, 0, 11, 3, 17
